timestamp,txid,sender,receiver,amount,type
1764854835,bde98c120fd6b41dea9a0c2550434c3a46208f1d869969c2c83140d933528fce,alice,bob,5,mempool-add
1764854835,c54be34767f29c75f4e9faa9093cd77071725e9d54bdab74b923dfc007d777e5,COINBASE,miner,50,block-accepted
1764854835,bde98c120fd6b41dea9a0c2550434c3a46208f1d869969c2c83140d933528fce,alice,bob,5,block-accepted
1764854909,7a64c3d6b31a538e0ba006bb0b492d7689490e088ad7b3692403f1b002dc3684,attacker,merchant,10,mempool-add
1764854909,cd81095707508eefe0e71a11cbe82c956491ac1cbb4ca09554f9bbab6b7064d5,COINBASE,attacker,50,block-accepted
1764854909,7a64c3d6b31a538e0ba006bb0b492d7689490e088ad7b3692403f1b002dc3684,attacker,merchant,10,block-accepted
1764854964,98bc38963be1ebb0aef1180aecb5625b8227e5cd4082d0d9bf031c919acb96f2,alice,bob,4,mempool-add
1764854964,c54be34767f29c75f4e9faa9093cd77071725e9d54bdab74b923dfc007d777e5,COINBASE,miner,50,block-accepted
1764854964,98bc38963be1ebb0aef1180aecb5625b8227e5cd4082d0d9bf031c919acb96f2,alice,bob,4,block-accepted
1764855028,910ab91b4840b743b89b7aa5626fda1d0ab1514754f7f914f2d4bfbfa312239b,alice,bob,1,mempool-add
1764855028,c54be34767f29c75f4e9faa9093cd77071725e9d54bdab74b923dfc007d777e5,COINBASE,miner,50,block-accepted
1764855028,910ab91b4840b743b89b7aa5626fda1d0ab1514754f7f914f2d4bfbfa312239b,alice,bob,1,block-accepted
1764862304,bde98c120fd6b41dea9a0c2550434c3a46208f1d869969c2c83140d933528fce,alice,bob,5,mempool-add
1764862304,c54be34767f29c75f4e9faa9093cd77071725e9d54bdab74b923dfc007d777e5,COINBASE,miner,50,block-accepted
1764862304,bde98c120fd6b41dea9a0c2550434c3a46208f1d869969c2c83140d933528fce,alice,bob,5,block-accepted
